Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,F,,,M?l,,Diff,Po?ng,
1,Frankrike,,3,3,0,0,,7,:,1,6,9,,,,,1,England,,3,3,0,0,,5,:,2,3,9,
2,Schweiz,,3,0,2,1,,3,:,5,-2,2,,,,,2,Ryssland,,3,1,1,1,,3,:,3,0,4,
3,Rum‰nien,,3,0,2,1,,2,:,4,-2,2,,,,,3,Slovakien,,3,1,0,2,,3,:,4,-1,3,
4,Albanien,,3,0,2,1,,2,:,4,-2,2,,,,,4,Wales,,3,0,1,2,,2,:,4,-2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,2,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,2
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,1,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,1
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,1,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,1,:,0
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,2,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,1,:,0
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,3,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,2
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,1,:,1,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Tyskland,,3,3,0,0,,6,:,2,4,9,,,,,1,Spanien,,3,3,0,0,,6,:,1,5,9,
2,Ukraina,,3,1,1,1,,4,:,3,1,4,,,,,2,Turkiet,,3,1,1,1,,2,:,3,-1,4,
3,Polen,,3,1,1,1,,3,:,3,0,4,,,,,3,Tjeckien,,3,0,2,1,,3,:,5,-2,2,
4,Nordirland,,3,0,0,3,,0,:,5,-5,0,,,,,4,Kroatien,,3,0,1,2,,3,:,5,-2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,0
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,2,:,1,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,2,:,0,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,2,:,2
