Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,F,,,M?l,,Diff,Po?ng,
1,Frankrike,,3,3,0,0,,10,:,1,9,9,,,,,1,England,,3,3,0,0,,8,:,2,6,9,
2,Schweiz,,3,2,0,1,,4,:,4,0,6,,,,,2,Ryssland,,3,1,1,1,,6,:,5,1,4,
3,Rum‰nien,,3,1,0,2,,2,:,4,-2,3,,,,,3,Wales,,3,1,1,1,,3,:,5,-2,4,
4,Albanien,,3,0,0,3,,1,:,8,-7,0,,,,,4,Slovakien,,3,0,0,3,,2,:,7,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,3,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,0
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,2,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,1
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,0,:,1,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,3,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,4,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,3,:,0
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,3,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,3
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,2,:,0,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,2,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Tyskland,,3,3,0,0,,8,:,1,7,9,,,,,1,Spanien,,3,3,0,0,,7,:,2,5,9,
2,Ukraina,,3,1,1,1,,4,:,4,0,4,,,,,2,Kroatien,,3,2,0,1,,4,:,3,1,6,
3,Polen,,3,1,1,1,,3,:,3,0,4,,,,,3,Tjeckien,,3,0,1,2,,2,:,5,-3,1,
4,Nordirland,,3,0,0,3,,0,:,7,-7,0,,,,,4,Turkiet,,3,0,1,2,,2,:,5,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,2,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,1,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,3,:,1
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,2,:,0,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,0,:,1
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,0,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,1,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,2
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,3,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Italien,,3,3,0,0,,8,:,3,5,9,,,,,1,Portugal,,3,3,0,0,,8,:,2,6,9,
2,Belgien,,3,2,0,1,,5,:,3,2,6,,,,,2,÷sterrike,,3,2,0,1,,5,:,3,2,6,
3,Zverige,,3,0,1,2,,3,:,6,-3,1,,,,,3,Island,,3,1,0,2,,3,:,6,-3,3,
4,Irland,,3,0,1,2,,2,:,6,-4,1,,,,,4,Ungern,,3,0,0,3,,2,:,7,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,1,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,1,:,2,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,0
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,3,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,2,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,2,:,0,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,1
33,22.06.2016,21:00,,Italien,,,:,Irland,,,3,:,1,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,1,:,3
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,1,:,2,,,,36,22.06.2016,21:00,,Island,,,:,÷sterrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
1,Polen,,3,1,1,1,,3,:,3,0,4,C,,,,37,25.06.2016,15:00,,Schweiz,,,:,Ukraina,,,2,:,1
2,Wales,,3,1,1,1,,3,:,5,-2,4,B,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,3,:,1
3,Rum‰nien,,3,1,0,2,,2,:,4,-2,3,A,,,,39,25.06.2016,21:00,,Spanien,,,:,Island,,,3,:,0
4,Island,,3,1,0,2,,3,:,6,-3,3,F,,,,40,26.06.2016,15:00,,Frankrike,,,:,Polen,,,3,:,0
5,Zverige,,3,0,1,2,,3,:,6,-3,1,E,,,,41,26.06.2016,18:00,,Tyskland,,,:,Wales,,,4,:,1
6,Tjeckien,,3,0,1,2,,2,:,5,-3,1,D,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,3,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Kroatien,,,2,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,÷sterrike,,,2,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,M?l,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,0,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,2,:,1
46,01.07.2016,21:00,England,,,,:,Portugal,,,2,:,1,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,2,:,3
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,3,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,÷sterrike,,,3,:,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Frankrike,,,0,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Frankrike,,,,,,,,,,,,,,,,,,
