Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,F,,,M?l,,Diff,Po?ng,
1,Frankrike,,3,2,1,0,,7,:,2,5,7,,,,,1,Ryssland,,3,2,1,0,,6,:,3,3,7,
2,Schweiz,,3,2,1,0,,6,:,2,4,7,,,,,2,England,,3,2,0,1,,6,:,3,3,6,
3,Rum‰nien,,3,1,0,2,,5,:,6,-1,3,,,,,3,Wales,,3,1,0,2,,3,:,4,-1,3,
4,Albanien,,3,0,0,3,,2,:,10,-8,0,,,,,4,Slovakien,,3,0,1,2,,2,:,7,-5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,2,:,1,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,2,:,0
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,0,:,3,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,1,:,2
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,2,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,2,:,2
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,4,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,2,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,1,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,0,:,3
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,3,:,2,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,2,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Tyskland,,3,3,0,0,,9,:,1,8,9,,,,,1,Spanien,,3,2,1,0,,6,:,1,5,7,
2,Polen,,3,1,1,1,,3,:,4,-1,4,,,,,2,Kroatien,,3,1,2,0,,6,:,4,2,5,
3,Nordirland,,3,1,1,1,,3,:,6,-3,4,,,,,3,Tjeckien,,3,1,1,1,,4,:,5,-1,4,
4,Ukraina,,3,0,0,3,,3,:,7,-4,0,,,,,4,Turkiet,,3,0,0,3,,2,:,8,-6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,1,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,3
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,1,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,2,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,2,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,0,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,3,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,2,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,4,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Zverige,,3,2,0,1,,4,:,3,1,6,,,,,1,Portugal,,3,2,1,0,,7,:,2,5,7,
2,Italien,,3,1,1,1,,5,:,4,1,4,,,,,2,Island,,3,2,0,1,,4,:,5,-1,6,
3,Belgien,,3,1,1,1,,3,:,4,-1,4,,,,,3,÷sterrike,,3,1,1,1,,5,:,4,1,4,
4,Irland,,3,1,0,2,,1,:,2,-1,3,,,,,4,Ungern,,3,0,0,3,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,0,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,2,:,2,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,0
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,3,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,2,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,1,:,0,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,2
