Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,2,1,0,,6,:,2,4,7,,,,,1,England,,3,2,1,0,,6,:,3,3,7,
2,Schweiz,,3,1,2,0,,5,:,3,2,5,,,,,2,Ryssland,,3,1,2,0,,3,:,2,1,5,
3,Albanien,,3,0,2,1,,2,:,3,-1,2,,,,,3,Slovakien,,3,1,1,1,,4,:,4,0,4,
4,Rum‰nien,,3,0,1,2,,1,:,6,-5,1,,,,,4,Wales,,3,0,0,3,,2,:,6,-4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,3,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,2
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,1,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,1,:,1
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,0,:,2,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,1,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,1,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,3,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,2,:,2,,,,28,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,2
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,1,:,1,,,,27,20.06.2016,21:00,,Ryssland,,,:,Wales,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,2,1,0,,6,:,4,2,7,,,,,1,Spanien,,3,2,1,0,,5,:,2,3,7,
2,Polen,,3,1,2,0,,5,:,3,2,5,,,,,2,Kroatien,,3,1,2,0,,5,:,3,2,5,
3,Ukraina,,3,0,2,1,,3,:,4,-1,2,,,,,3,Turkiet,,3,0,2,1,,4,:,5,-1,2,
4,Nordirland,,3,0,1,2,,2,:,5,-3,1,,,,,4,Tjeckien,,3,0,1,2,,1,:,5,-4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,2,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,2,:,2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,2,:,1,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,1,,,,20,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,0,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,2,,,,21,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,1
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,1,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,1,:,2,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,2,1,0,,7,:,2,5,7,,,,,1,Portugal,,3,2,1,0,,7,:,3,4,7,
