Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,3,0,0,,9,:,3,6,9,,,,,1,England,,3,2,1,0,,7,:,3,4,7,
2,Schweiz,,3,1,1,1,,4,:,4,0,4,,,,,2,Ryssland,,3,2,1,0,,7,:,3,4,7,
3,RumÑnien,,3,1,1,1,,4,:,5,-1,4,,,,,3,Slovakien,,3,1,0,2,,4,:,6,-2,3,
4,Albanien,,3,0,0,3,,3,:,8,-5,0,,,,,4,Wales,,3,0,0,3,,1,:,7,-6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,RumÑnien,,,3,:,1,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,2
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,2,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,2
14,15.06.2016,18:00,,RumÑnien,,,:,Schweiz,,,1,:,1,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,2,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,4,:,1,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,2,:,0
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,2,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,3
25,19.06.2016,21:00,,RumÑnien,,,:,Albanien,,,2,:,1,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,3,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,2,1,0,,9,:,4,5,7,,,,,1,Spanien,,3,3,0,0,,10,:,4,6,9,
2,Polen,,3,2,1,0,,8,:,5,3,7,,,,,2,Kroatien,,3,1,1,1,,5,:,5,0,4,
3,Ukraina,,3,0,1,2,,5,:,8,-3,1,,,,,3,Tjeckien,,3,0,2,1,,4,:,7,-3,2,
4,Nordirland,,3,0,1,2,,2,:,7,-5,1,,,,,4,Turkiet,,3,0,1,2,,3,:,6,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,3,:,1,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,0,:,2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,4,:,2,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,4,:,1
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,1,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,2,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,2,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,3,:,2
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,2,:,3,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,3
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,3,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Italien,,3,2,1,0,,7,:,3,4,7,,,,,1,Portugal,,3,2,1,0,,8,:,4,4,7,
2,Belgien,,3,2,1,0,,6,:,4,2,7,,,,,2,ôsterrike,,3,2,1,0,,5,:,3,2,7,
3,Irland,,3,0,1,2,,4,:,7,-3,1,,,,,3,Island,,3,0,1,2,,3,:,6,-3,1,
4,Zverige,,3,0,1,2,,3,:,6,-3,1,,,,,4,Ungern,,3,0,1,2,,2,:,5,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,2,:,2,,,,11,14.06.2016,18:00,,ôsterrike,,,:,Ungern,,,1,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,2,:,2,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,1
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,2,:,0,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,2,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,ôsterrike,,,2,:,2
33,22.06.2016,21:00,,Italien,,,:,Irland,,,3,:,1,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,1,:,3
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,1,:,2,,,,36,22.06.2016,21:00,,Island,,,:,ôsterrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,RumÑnien,,3,1,1,1,,4,:,5,-1,4,A,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,2,:,3
2,Slovakien,,3,1,0,2,,4,:,6,-2,3,B,,,,38,25.06.2016,18:00,,England,,,:,Tjeckien,,,3,:,1
3,Tjeckien,,3,0,2,1,,4,:,7,-3,2,D,,,,39,25.06.2016,21:00,,Spanien,,,:,Slovakien,,,2,:,1
4,Ukraina,,3,0,1,2,,5,:,8,-3,1,C,,,,40,26.06.2016,15:00,,Frankrike,,,:,Ukraina,,,2,:,1
5,Irland,,3,0,1,2,,4,:,7,-3,1,E,,,,41,26.06.2016,18:00,,Tyskland,,,:,RumÑnien,,,3,:,1
6,Island,,3,0,1,2,,3,:,6,-3,1,F,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,3,:,2
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Kroatien,,,3,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,ôsterrike,,,3,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Polen,,,,:,Spanien,,,1,:,3,,,,49,06.07.2016,21:00,,Spanien,,,:,Portugal,,,3,:,2
46,01.07.2016,21:00,England,,,,:,Portugal,,,2,:,3,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,2,:,3
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,2,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,3,:,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Frankrike,,,2,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Frankrike,,,,,,,,,,,,,,,,,,
