Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,3,0,0,,8,:,2,6,9,,,,,1,England,,3,3,0,0,,8,:,1,7,9,
2,Schweiz,,3,2,0,1,,5,:,4,1,6,,,,,2,Ryssland,,3,2,0,1,,5,:,5,0,6,
3,RumÑnien,,3,1,0,2,,3,:,3,0,3,,,,,3,Slovakien,,3,1,0,2,,3,:,5,-2,3,
4,Albanien,,3,0,0,3,,1,:,8,-7,0,,,,,4,Wales,,3,0,0,3,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,RumÑnien,,,1,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,0,:,2
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,0,:,2,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,3,:,1
14,15.06.2016,18:00,,RumÑnien,,,:,Schweiz,,,1,:,2,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,2,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,4,:,1,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,2,:,0
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,3,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,0,:,3
25,19.06.2016,21:00,,RumÑnien,,,:,Albanien,,,2,:,0,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
