Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,2,1,0,,6,:,2,4,7,,,,,1,England,,3,2,1,0,,5,:,3,2,7,
2,Schweiz,,3,2,1,0,,4,:,2,2,7,,,,,2,Wales,,3,0,3,0,,3,:,3,0,3,
3,Rum‰nien,,3,1,0,2,,3,:,5,-2,3,,,,,3,Ryssland,,3,0,2,1,,3,:,4,-1,2,
4,Albanien,,3,0,0,3,,2,:,6,-4,0,,,,,4,Slovakien,,3,0,2,1,,3,:,4,-1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,2,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,1
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,0,:,1,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,1
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,2,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,1,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,3,:,1,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,1,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,1,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,2
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,2,:,1,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,7,:,1,6,9,,,,,1,Spanien,,3,2,1,0,,6,:,2,4,7,
2,Polen,,3,2,0,1,,4,:,3,1,6,,,,,2,Kroatien,,3,1,2,0,,3,:,2,1,5,
3,Nordirland,,3,1,0,2,,1,:,3,-2,3,,,,,3,Turkiet,,3,1,0,2,,3,:,5,-2,3,
4,Ukraina,,3,0,0,3,,1,:,6,-5,0,,,,,4,Tjeckien,,3,0,1,2,,2,:,5,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,0,:,1
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,0,:,1,,,,20,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,1
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,1,,,,21,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,3,:,1
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,2,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,2,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,2,0,1,,4,:,1,3,6,,,,,1,Portugal,,3,3,0,0,,7,:,1,6,9,
2,Italien,,3,1,2,0,,3,:,2,1,5,,,,,2,÷sterrike,,3,2,0,1,,5,:,3,2,6,
3,Zverige,,3,1,1,1,,2,:,3,-1,4,,,,,3,Island,,3,1,0,2,,3,:,6,-3,3,
4,Irland,,3,0,1,2,,1,:,4,-3,1,,,,,4,Ungern,,3,0,0,3,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,0,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,0,:,1,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,0
19,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,2,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,2,:,0,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,1
36,22.06.2016,21:00,,Italien,,,:,Irland,,,1,:,1,,,,34,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,2
35,22.06.2016,21:00,,Zverige,,,:,Belgien,,,0,:,2,,,,33,22.06.2016,21:00,,Island,,,:,÷sterrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Zverige,,3,1,1,1,,2,:,3,-1,4,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,0
2,Rum‰nien,,3,1,0,2,,3,:,5,-2,3,A,,,,38,25.06.2016,18:00,,England,,,:,Turkiet,,,2,:,1
3,Turkiet,,3,1,0,2,,3,:,5,-2,3,D,,,,39,25.06.2016,21:00,,Spanien,,,:,Zverige,,,2,:,0
4,Nordirland,,3,1,0,2,,1,:,3,-2,3,C,,,,40,26.06.2016,15:00,,Frankrike,,,:,Nordirland,,,3,:,0
5,Island,,3,1,0,2,,3,:,6,-3,3,F,,,,41,26.06.2016,18:00,,Tyskland,,,:,Rum‰nien,,,3,:,1
6,Ryssland,,3,0,2,1,,3,:,4,-1,2,B,,,,42,26.06.2016,21:00,,Portugal,,,:,Italien,,,2,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Kroatien,,,2,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Wales,,,:,÷sterrike,,,0,:,2
