Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,2,1,0,,5,:,0,5,7,,,,,1,Slovakien,,3,2,1,0,,7,:,3,4,7,
2,Schweiz,,3,1,2,0,,3,:,2,1,5,,,,,2,England,,3,2,1,0,,5,:,2,3,7,
3,Rum‰nien,,3,0,2,0,,3,:,6,-3,2,,,,,3,Wales,,3,0,1,0,,1,:,4,-3,1,
4,Albanien,,3,0,1,0,,3,:,6,-3,1,,,,,4,Ryssland,,3,0,1,0,,0,:,4,-4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,3,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,1,:,3
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,2,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,0
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,1,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,0,:,2
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,2,:,0,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,1,:,0
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,0,:,0,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,2,:,2
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,2,:,2,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,0,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Polen,,3,3,0,0,,4,:,1,3,9,,,,,1,Kroatien,,3,3,0,0,,7,:,4,3,9,
2,Tyskland,,3,2,0,0,,7,:,2,5,6,,,,,2,Spanien,,3,2,0,0,,5,:,3,2,6,
3,Ukraina,,3,0,1,0,,1,:,4,-3,1,,,,,3,Turkiet,,3,0,1,0,,2,:,4,-2,1,
4,Nordirland,,3,0,1,0,,1,:,6,-5,1,,,,,4,Tjeckien,,3,0,1,0,,2,:,5,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,2,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,1,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,1,:,2,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,1,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,0,:,1,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,3,:,2
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,4,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,2,0,0,,6,:,4,2,6,,,,,1,÷sterrike,,3,2,1,0,,9,:,4,5,7,
2,Zverige,,3,1,1,0,,4,:,4,0,4,,,,,2,Portugal,,3,1,2,0,,3,:,2,1,5,
3,Italien,,3,1,1,0,,3,:,4,-1,4,,,,,3,Island,,3,1,1,0,,2,:,3,-1,4,
4,Irland,,3,1,0,0,,1,:,2,-1,3,,,,,4,Ungern,,3,0,0,0,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,0,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,4,:,1
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,3,:,1,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,0,:,0
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,0
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,0,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,2
33,22.06.2016,21:00,,Italien,,,:,Irland,,,1,:,0,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,1
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,2,:,3,,,,36,22.06.2016,21:00,,Island,,,:,÷sterrike,,,1,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Italien,,3,1,1,0,,3,:,4,-1,4,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Tyskland,,,0,:,2
2,Island,,3,1,1,0,,2,:,3,-1,4,F,,,,38,25.06.2016,18:00,,Slovakien,,,:,Rum‰nien,,,1,:,0
3,Rum‰nien,,3,0,2,0,,3,:,6,-3,2,A,,,,39,25.06.2016,21:00,,Kroatien,,,:,Italien,,,2,:,2
4,Turkiet,,3,0,1,0,,2,:,4,-2,1,D,,,,40,26.06.2016,15:00,,Frankrike,,,:,Turkiet,,,2,:,0
5,Wales,,3,0,1,0,,1,:,4,-3,1,B,,,,41,26.06.2016,18:00,,Polen,,,:,Island,,,1,:,0
6,Ukraina,,3,0,1,0,,1,:,4,-3,1,C,,,,42,26.06.2016,21:00,,÷sterrike,,,:,Zverige,,,0,:,1
