Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,2,1,0,,7,:,4,3,7,,,,,1,England,,3,2,1,0,,9,:,3,6,7,
2,Rum‰nien,,3,1,1,1,,4,:,4,0,4,,,,,2,Ryssland,,3,1,2,0,,4,:,3,1,5,
3,Albanien,,3,0,3,0,,4,:,4,0,3,,,,,3,Wales,,3,1,0,2,,3,:,5,-2,3,
4,Schweiz,,3,0,1,2,,1,:,4,-3,1,,,,,4,Slovakien,,3,0,1,2,,2,:,7,-5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,2,:,1,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,2,:,1
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,0,:,0,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,2,:,2
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,0,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,1,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,2,:,2,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,3,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,1,:,3,,,,28,20.06.2016,21:00,,Slovakien,,,:,England,,,0,:,4
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,2,:,2,,,,27,20.06.2016,21:00,,Ryssland,,,:,Wales,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,8,:,3,5,9,,,,,1,Turkiet,,3,2,0,1,,7,:,4,3,6,
2,Polen,,3,1,1,1,,6,:,5,1,4,,,,,2,Tjeckien,,3,1,1,1,,5,:,4,1,4,
3,Ukraina,,3,1,1,1,,5,:,4,1,4,,,,,3,Spanien,,3,1,1,1,,6,:,7,-1,4,
