Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,F,,,MÜl,,Diff,PoÑng,
1,Frankrike,,3,2,1,0,,7,:,3,4,7,,,,,1,England,,3,2,1,0,,5,:,2,3,7,
2,Schweiz,,3,1,2,0,,5,:,4,1,5,,,,,2,Wales,,3,1,2,0,,4,:,3,1,5,
3,Rum‰nien,,3,1,0,2,,2,:,3,-1,3,,,,,3,Ryssland,,3,1,0,2,,2,:,3,-1,3,
4,Albanien,,3,0,1,2,,2,:,6,-4,1,,,,,4,Slovakien,,3,0,1,2,,4,:,7,-3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp A - Spelschema,,,,,,,,,,,,,,,,,Grupp B - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
1,10.06.2016,21:00,,Frankrike,,,:,Rum‰nien,,,1,:,0,,,,3,11.06.2016,18:00,,Wales,,,:,Slovakien,,,2,:,2
2,11.06.2016,15:00,,Albanien,,,:,Schweiz,,,1,:,1,,,,4,11.06.2016,21:00,,England,,,:,Ryssland,,,1,:,0
14,15.06.2016,18:00,,Rum‰nien,,,:,Schweiz,,,1,:,2,,,,13,15.06.2016,15:00,,Ryssland,,,:,Slovakien,,,2,:,1
15,15.06.2016,21:00,,Frankrike,,,:,Albanien,,,4,:,1,,,,16,16.06.2016,18:00,,England,,,:,Wales,,,1,:,1
26,19.06.2016,21:00,,Schweiz,,,:,Frankrike,,,2,:,2,,,,27,20.06.2016,21:00,,Slovakien,,,:,England,,,1,:,3
25,19.06.2016,21:00,,Rum‰nien,,,:,Albanien,,,1,:,0,,,,28,20.06.2016,21:00,,Ryssland,,,:,Wales,,,0,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,10,:,1,9,9,,,,,1,Spanien,,3,2,1,0,,4,:,2,2,7,
2,Polen,,3,1,1,1,,5,:,6,-1,4,,,,,2,Turkiet,,3,2,0,1,,4,:,3,1,6,
3,Ukraina,,3,1,1,1,,3,:,5,-2,4,,,,,3,Kroatien,,3,0,2,1,,3,:,4,-1,2,
4,Nordirland,,3,0,0,3,,1,:,7,-6,0,,,,,4,Tjeckien,,3,0,1,2,,1,:,3,-2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,2,:,1,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,2,:,1
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,1,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,0,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,1
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,3,:,1,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,1
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,2,:,2,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,4,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,0,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,3,0,0,,8,:,2,6,9,,,,,1,Portugal,,3,3,0,0,,9,:,2,7,9,
2,Zverige,,3,1,1,1,,3,:,4,-1,4,,,,,2,Island,,3,1,1,1,,2,:,2,0,4,
3,Italien,,3,1,1,1,,2,:,3,-1,4,,,,,3,÷sterrike,,3,1,1,1,,3,:,5,-2,4,
4,Irland,,3,0,0,3,,1,:,5,-4,0,,,,,4,Ungern,,3,0,0,3,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,0,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,1
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,2,:,0,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,2,:,1
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,0
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,3,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,4,:,1
33,22.06.2016,21:00,,Italien,,,:,Irland,,,1,:,0,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,3
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,1,:,3,,,,36,22.06.2016,21:00,,Island,,,:,÷sterrike,,,0,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Italien,,3,1,1,1,,2,:,3,-1,4,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,1
2,Ukraina,,3,1,1,1,,3,:,5,-2,4,C,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,1,:,0
3,÷sterrike,,3,1,1,1,,3,:,5,-2,4,F,,,,39,25.06.2016,21:00,,Spanien,,,:,Italien,,,2,:,1
4,Rum‰nien,,3,1,0,2,,2,:,3,-1,3,A,,,,40,26.06.2016,15:00,,Frankrike,,,:,Ukraina,,,3,:,1
5,Ryssland,,3,1,0,2,,2,:,3,-1,3,B,,,,41,26.06.2016,18:00,,Tyskland,,,:,÷sterrike,,,2,:,0
6,Kroatien,,3,0,2,1,,3,:,4,-1,2,D,,,,42,26.06.2016,21:00,,Portugal,,,:,Zverige,,,3,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Turkiet,,,2,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Wales,,,:,Island,,,2,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,0,:,1,,,,49,06.07.2016,21:00,,Spanien,,,:,Portugal,,,1,:,0
